model_name,outcome,closure_variable,coef,std_error,p_value,n_obs,n_schools,fixed_effects,weighted,controls,exclude_2025,r_squared,mean_outcome,mean_closure_var,sd_closure_var
M1_year_fe_broad_days,eligibility_rate,closure_days_hurricane_related_broad,-0.0015097394117963197,0.0015609512176613096,0.3334480985689672,6323,311,year,False,,False,0.18693348824954736,0.6291230195191617,0.17871263640676893,1.5870827996212369
M2_twfe_unweighted_broad_days,eligibility_rate,closure_days_hurricane_related_broad,-0.0008997299534827061,0.0006924511383184765,0.19382702932369278,6323,311,school_year,False,,False,0.763813409733283,0.6291230195191617,0.17871263640676893,1.5870827996212369
M3_twfe_weighted_broad_days_main,eligibility_rate,closure_days_hurricane_related_broad,-0.001029334285293144,0.0005876065032926701,0.07981838809975807,6323,311,school_year,True,,False,0.8023834420623326,0.6291230195191617,0.17871263640676893,1.5870827996212369
M4_twfe_weighted_broad_days_exposure_control,eligibility_rate,closure_days_hurricane_related_broad,-0.0014113260925852768,0.0006485061935451728,0.029534902379602254,6323,311,school_year,True,exposure_index_pointmax,False,0.8025236067182869,0.6291230195191617,0.17871263640676893,1.5870827996212369
M5_twfe_weighted_strict_days,eligibility_rate,closure_days_hurricane_related_strict,-0.0012138221394485476,0.0006188486571636352,0.049830047633764564,6323,311,school_year,True,,False,0.8024241360962198,0.6291230195191617,0.16337181717539143,1.5418980788879133
M6_twfe_weighted_broad_any,eligibility_rate,closure_any_hurricane_related_broad,0.0005878326240361248,0.007217777119876334,0.9350901822419818,6323,311,school_year,True,,False,0.8022601065314264,0.6291230195191617,0.029258263482524118,0.16854290284838117
M7_twfe_weighted_broad_max_consecutive,eligibility_rate,closure_max_consecutive_days_broad,-0.00110262534558019,0.00059599274564667,0.06430417528758209,6323,311,school_year,True,,False,0.8024001894316903,0.6291230195191617,0.17460066424165743,1.5773447903294442
R1_recipient_rate_no2025_broad_days,recipient_rate,closure_days_hurricane_related_broad,-0.0007973658077590309,0.000384010211746885,0.0378552857795908,6059,309,school_year,True,,True,0.8639313625668524,0.43561466936048054,0.1604225119656709,1.5996692728490536
R2_acceptance_rate_no2025_broad_days,acceptance_rate,closure_days_hurricane_related_broad,0.00010426998717862957,0.0006458264917827161,0.8717374034730698,6054,307,school_year,True,,True,0.7713789960483411,0.6668208078021949,0.1605550049554014,1.6003231818400314
R3_eligibility_no2025_broad_days,eligibility_rate,closure_days_hurricane_related_broad,-0.0010404279367747023,0.0005982017693874613,0.08198917873773465,6059,309,school_year,True,,True,0.8028347575017971,0.6262967920305975,0.1604225119656709,1.5996692728490536
