graduation_year,rows,unique_schools,students,mean_eligibility_rate,student_weighted_eligibility_rate,mean_recipient_rate,mean_acceptance_rate,mean_exposure_pointmax,p90_exposure_pointmax,max_exposure_pointmax,mean_exposure_stormmax,share_within_50km_hurricane,share_within_100km_hurricane,share_within_50km_major_hurricane
1999,141,141,9879,0.8781362211211089,0.8831865573438608,0.7511635768372126,0.8563050501889633,0.3572232253987619,0.617282136114858,0.8993250188661187,0.540187562039721,0.0,0.028368794326241134,0.0
2000,178,178,13376,0.8293136067015581,0.8425538277511961,0.6157147267199765,0.7367954981783793,0.18065394904654652,0.2087208110981146,0.240242058251916,0.1812166078276085,0.0,0.0,0.0
2001,178,178,13376,0.8293136067015581,0.8425538277511961,0.6157147267199765,0.7367954981783793,0.13647144948760392,0.17419403359896488,0.3644803611055308,0.15910283483097917,0.0,0.0,0.0
2002,169,169,13272,0.8427489612623675,0.8534508740204942,0.637535380926202,0.7523349550621277,0.3014379707624679,0.5330028319183083,1.0208253280114823,0.46329739950244764,0.0,0.0,0.0
2003,214,214,20347,0.5411995509929756,0.5734014842482922,0.4206865077266915,0.750659249514624,0.632421564275298,1.089609806585546,2.064479313308527,1.3676486388245819,0.0,0.1261682242990654,0.0
2004,215,215,20341,0.5838741543102606,0.6096553758418957,0.44368845543189156,0.7334641751113656,0.3493438775532612,0.6113509935068109,1.2659863428887008,0.3802237579479435,0.0,0.0,0.0
2005,215,215,21009,0.5736271121794286,0.5982674092055785,0.4264334632998594,0.714822983678393,0.3298642233614319,0.5078929968221564,0.7134016754641923,0.7748240724411006,0.0,0.0,0.0
2006,213,213,19571,0.6095745924866904,0.6370139492105666,0.4598661526343448,0.7298545622329806,0.6834012488068779,1.216558569955755,2.569994567938784,1.2832679335526187,0.056338028169014086,0.2676056338028169,0.03755868544600939
2007,216,216,20102,0.6058536280840804,0.6380459655755646,0.43961866229955554,0.69995060337524,0.08469878244311707,0.10955553312633454,0.1320290086415323,0.08517251506782796,0.0,0.0,0.0
2008,221,221,20904,0.6119099318719579,0.6371986222732492,0.4447376813255488,0.701539659391823,0.3447049061545111,0.6256533686020761,1.6950424234799106,0.6237892917698307,0.04072398190045249,0.11764705882352941,0.0
2009,219,219,20897,0.6128586941078344,0.6389912427621189,0.4460943872968702,0.6982362315284156,0.7113288985063377,1.1047607980728154,2.440133282925787,1.5415762037134244,0.0684931506849315,0.3470319634703196,0.0
2010,231,231,24184,0.5576007467813379,0.5752563678465101,0.41598288071314576,0.7169508387440392,0.19609044371367085,0.3140157346769296,0.4890056540803767,0.29146470201975627,0.0,0.0,0.0
2011,227,227,23649,0.6037382828033595,0.6176582519345427,0.4358829723858363,0.6960582354051986,0.09747928907290915,0.10822581899910765,0.1180766797812466,0.11218130442387944,0.0,0.0,0.0
2012,234,234,23542,0.638406004260517,0.6536403024381956,0.469766833719886,0.7098789314620224,0.298113315096599,0.5386906006304939,1.12858651318711,0.4151820018008818,0.0,0.0,0.0
2013,249,249,27131,0.5953018264592491,0.6148686004939,0.43856558496601966,0.7063436927459379,0.5947769143184866,0.9385688829296435,2.1076510504812216,0.8203371746225773,0.028112449799196786,0.18473895582329317,0.0
2014,248,248,27610,0.5844272852739318,0.6011952191235059,0.4233457615517199,0.696118460142478,0.10490900984644838,0.13026499453161142,0.1530102885904358,0.16673321269120542,0.0,0.0,0.0
2015,247,247,26821,0.6429330322200768,0.6548972819805376,0.4586377813783407,0.6879022021231789,0.0637276079845099,0.07146925849147864,0.0742667008764756,0.06957019828517165,0.0,0.0,0.0
2016,263,263,28719,0.6187382031863952,0.6332044987638845,0.4200449486085415,0.6564087582654385,0.0919762206689652,0.11098874087298045,0.1379345171757333,0.10667381354451018,0.0,0.0,0.0
2017,259,259,28565,0.6411058853804449,0.658568177840014,0.4260205572646879,0.6409777198149885,0.09928498686907615,0.12762657587897439,0.1430133079158645,0.13452554044908768,0.0,0.0,0.0
2018,277,277,35236,0.5756107664661785,0.5895391077307299,0.37902713007982297,0.6346653346264038,0.4323358502690638,0.6653475565695987,1.1408226835542323,1.1031891090824315,0.0036101083032490976,0.032490974729241874,0.0
2019,280,280,34628,0.6062533511493129,0.6181702668360864,0.37495978134124647,0.59107477241899,0.23190039591483022,0.32543701351964593,0.4133824815460726,0.2917974389383624,0.0,0.0,0.0
2020,276,276,31939,0.604907876785458,0.6220608034064936,0.37101862587646695,0.5782503643944665,0.5009967195780699,0.8515601747951251,1.4541071568293549,0.6730696338882887,0.010869565217391304,0.13768115942028986,0.0
2021,276,276,30903,0.5848983828274977,0.6084522538264894,0.3499968528367749,0.5636512977296224,0.9934213052057249,1.627034424410693,2.668131607779447,1.4818402629021863,0.26811594202898553,0.5833333333333334,0.036231884057971016
2022,268,268,31005,0.5917778689374338,0.6179970972423803,0.33714407579199573,0.5376497088182987,0.8049973519076844,1.5089853052570366,2.772690614151059,1.2922495865919137,0.27611940298507465,0.4253731343283582,0.13432835820895522
2023,273,273,31525,0.5844177637663319,0.6189690721649485,0.3354038054670346,0.5402344192238667,0.13397073388458347,0.16023444720379124,0.1754284406192547,0.1351605507168077,0.0,0.0,0.0
2024,272,272,31118,0.6129071825504457,0.6422970627932386,0.3543889571734739,0.5455707307829952,0.1492688179922012,0.1878259668192631,0.2065696787902511,0.1512832391185541,0.0,0.0,0.0
2025,264,264,25504,0.6939870814631434,0.7180834378920954,0.0329179127404475,0.043175576178383995,0.5276724531660124,0.8467397425447497,1.7709596546934558,0.8777655102744333,0.045454545454545456,0.3181818181818182,0.0
