model_name,outcome,exposure,coef,std_error,p_value,ci_low_95,ci_high_95,n_obs,n_schools,first_year,last_year,weighted,fixed_effects,exclude_2025,r_squared
M1_year_fe,eligibility_rate,exposure_index_pointmax,0.027083013017559266,0.01613977883891109,0.09334148530703881,-0.004550953506706468,0.058716979541825004,6323,311,1999,2025,False,year,False,0.1879303709854282
M2_twfe_unweighted,eligibility_rate,exposure_index_pointmax,0.001716405062841037,0.005754714693532064,0.7655042193347835,-0.00956283573648181,0.012995645862163884,6323,311,1999,2025,False,school_year,False,0.7637666680716987
M3_twfe_weighted_main,eligibility_rate,exposure_index_pointmax,0.005797074913624342,0.004941914937903935,0.24077887169431766,-0.00388907836466737,0.015483228191916054,6323,311,1999,2025,True,school_year,False,0.8023163371383786
M4_twfe_weighted_stormmax,eligibility_rate,exposure_index_stormmax,0.00017144414542354623,0.0030857071688623005,0.9556917484143704,-0.005876541905546563,0.006219430196393655,6323,311,1999,2025,True,school_year,False,0.8022599408486237
M5_twfe_weighted_100km_hurricane,eligibility_rate,within_100km_hurricane,0.001165316252279727,0.003826692635700767,0.760729406967965,-0.006335001313693776,0.00866563381825323,6323,311,1999,2025,True,school_year,False,0.80226276795095
M6_twfe_weighted_50km_hurricane,eligibility_rate,within_50km_hurricane,0.006184325009354829,0.006180766383667866,0.3170319549150873,-0.005929977102634187,0.018298627121343843,6323,311,1999,2025,True,school_year,False,0.8022982098077608
M7_twfe_weighted_pointmax_z,eligibility_rate,exposure_pointmax_z,0.0019968923406992354,0.0017023192273566074,0.24077887169440615,-0.0013396533449197149,0.005333438026318186,6323,311,1999,2025,True,school_year,False,0.8023163371383786
R1_recipient_rate_no2025,recipient_rate,exposure_index_pointmax,0.003731397229318029,0.004616644790337947,0.4189474179089032,-0.005317226559744346,0.012780021018380404,6059,309,1999,2024,True,school_year,True,0.8638849007586229
R2_acceptance_rate_no2025,acceptance_rate,exposure_index_pointmax,-0.000651924907788811,0.004599221794043095,0.8872800180670714,-0.009666399624113278,0.008362549808535655,6054,307,1999,2024,True,school_year,True,0.7713783202004819
